-10.000000 0.009901
-9.500000 0.010959
-9.000000 0.012195
-8.500000 0.013652
-8.000000 0.015385
-7.500000 0.017467
-7.000000 0.020000
-6.500000 0.023121
-6.000000 0.027027
-5.500000 0.032000
-5.000000 0.038462
-4.500000 0.047059
-4.000000 0.058824
-3.500000 0.075472
-3.000000 0.100000
-2.500000 0.137931
-2.000000 0.200000
-1.500000 0.307692
-1.000000 0.500000
-0.500000 0.800000
0.000000 1.000000
0.500000 0.800000
1.000000 0.500000
1.500000 0.307692
2.000000 0.200000
2.500000 0.137931
3.000000 0.100000
3.500000 0.075472
4.000000 0.058824
4.500000 0.047059
5.000000 0.038462
5.500000 0.032000
6.000000 0.027027
6.500000 0.023121
7.000000 0.020000
7.500000 0.017467
8.000000 0.015385
8.500000 0.013652
9.000000 0.012195
9.500000 0.010959
10.000000 0.009901
